GEOID,USPS,Hospital,State,ORIG_LAT,ORIG_LONG,THROMB,DEST_LAT,DEST_LONG,AERIAL_3
26,PA,Janet Weis Children's Hospital at Geisinger,42,40.969692,-76.60424,Penn State Milton S. Hershey Medical Center,40.26441,-76.67401,78.54131422
27,TN,Spence and Becky Wilson Baptist Childlren's Hospital,47,35.127824,-89.854591,Saint Thomas West Hospital,36.12984,-86.84392,294.4916948
28,NJ,The Bristol-Myrs Squibb Children's Hospital,34,40.495073,-74.451888,Capital Health Regional Medical Center,40.23608,-74.75259,38.46298505
29,PA,Children's Hospital of Philadelphia,42,39.9481,-75.19318,Cooper University Hospital,39.94152,-75.1168,6.568389332
30,CA,Kaiser Foundation Hospital - Santa Clara,6,37.33778,-121.99581,Stanford Health Care,37.433409,-122.175721,19.14425114
31,MA,Floating Hospital for Children at Tufts Medical Center,25,42.349948,-71.063829,Boston Medical Center Menino Pavilion,42.334834,-71.073608,1.862244875
32,OR,Doernbecher Children's Hospital at Oregon Health,41,45.499268,-122.686295,Providence St. Peter's Hospital,47.05274,-122.84462,173.1093856
33,MN,Children's Hospitals and Clinics of Minnesota - St. Paul,27,44.942184,-93.10791,"University of Minnesota Medical Center, Fairview",44.97128,-93.23061,10.20745998
34,MA,Boston Children's Hospital,25,42.337776,-71.10519,Boston Medical Center Menino Pavilion,42.334834,-71.073608,2.62320563
35,NJ,Joseph M. Sanzari Children's Hospital Hackensack University Medical Center,34,40.88453,-74.05768,Mount Sinai Hospital,40.79038,-73.95339,13.663279
36,NJ,K. Hovnanian Children's Hospital,34,40.20919,-74.04257,Maimonides Medical Center,40.63936,-73.99867,47.9123377
37,AR,Arkansas Children's Hospital,5,34.74345,-92.291466,Washington Regional Medical Center,36.10948,-94.15814,227.3799044
38,TX,University Health System Children's Health,48,29.50904,-98.574486,University Hospital,29.50662,-98.57792,0.427567979
39,IA,Blank Children's Hospital,19,41.589855,-93.63651,Mayo Clinic Hospital â€” Rochester,44.0200009,-92.483254,285.9611303
40,NY,Upstate Golisano Children's Hospital,36,43.042282,-76.140392,Rochester General Hospital,43.19242,-77.58659,118.8741322
41,MI,Bronson Methodist Hospital,26,42.286137,-85.58134,Metro Health University of Michigan Health,42.8575,-85.71897,64.46757186
42,TX,Children's Health,48,32.808856,-96.838099,Methodist Dallas Medical Center,32.76121,-96.82487,5.427354588
43,MD,University of Maryland Children's Hospital,24,39.288456,-76.62366,Johns Hopkins Bayview Medical Center,39.28978,-76.54689,6.624790421
44,NC,North Carolina Children's Hospital,37,35.903027,-79.05028,Moses H. Cone Memorial Hospital,36.091918,-79.785944,69.56456099
45,SC,MUSC Children's Hospital,45,32.785675,-79.946686,Prisma Health Richland,34.02755,-81.03322,170.8402361
46,TX,Medical City Children's Hospital,48,32.909378,-96.77132,Baylor Scott & White Medial Center - Plano,33.01419,-96.79108,11.76993892
47,FL,Nicklaus Children's Hospital,12,25.741411,-80.29603,Jackson Memorial Hospital,25.79112,-80.21207,10.06302532
48,NY,Hassenfeld Children's Hospital at NYU Langone,36,40.743626,-73.97315,NYU Langone Hospital - Brooklyn,40.64662,-74.02058,11.4940827
49,MO,Children's Mercy Hospitals and Clinics,29,39.081947,-94.578285,Research Medical Center,39.00716,-94.55977,8.455887642
50,FL,Nemours Children's Specialty Care Jacksonville,12,30.31212,-81.6633,UF Health Jacksonville,30.3478,-81.66435,3.956702843
51,FL,Golisano Children's Hospital of Southwest Florida,12,26.50363,-81.91398,Physicians Regional Medical Center - Pine Ridge,26.21413,-81.73196,36.86260874
52,IL,Ann & Robert H. Lurie Childen's Hospital of Chicago,17,41.896755,-87.62236,University of Illinois Hospital Health Sciences System- Chicago,41.869245,-87.670663,5.040898306
53,VA,Bon Secours St. Mary's Hospital Children's Services,51,37.585026,-77.512596,Johnston-Willis Hospital,37.51074,-77.5953,11.01776728
54,GA,Dwaine and Cynthia Willett Children's Hospital of Savannah,13,32.032215,-81.091675,UF Health Jacksonville,30.3478,-81.66435,194.567952
55,NY,Maimonides Infants and Children's Hospital of Brooklyn,36,40.639526,-73.9982,NYU Langone Hospitals,40.7423,-73.9743,11.59025971
56,IL,Advocate Children's Hospital - Oak Lawn,17,41.723169,-87.731996,Gottlieb Community Health Services Corporation - MacNeal Hospital,41.830485,-87.791175,12.8950166
57,MI,Ascension St. John Children's Hospital,26,42.418995,-82.914986,William Beaumont Hospital,42.515721,-83.194093,25.34446788
58,FL,AdventHealth for Children,12,28.57411,-81.37118,Osceola Regional Medical Center,28.29946,-81.4101,30.67636393
59,LA,Our Lady of the Lake Children's Hospial,22,30.402043,-91.099353,West Jefferson Medical Center,29.89141,-90.09437,112.1560615
60,TX,Children's Memorial Hermann Hospital,48,29.71507,-95.39662,Houston Methodist Hospital,29.71004,-95.40038,0.665769372
61,LA,Willis Knighton South and the Center for Womens and Childrens Health,22,32.402134,-93.79852,Baylor University Medical Center,32.78965,-96.77949,283.1144874
62,OR,Randall Childrren's Hospital at Legacy Emanuel,41,45.542862,-122.66945,Providence St. Peter's Hospital,47.05274,-122.84462,168.3753485
63,FL,The Salah Foundation Children's Hospital at Broward Health,12,26.101841,-80.14234,Memorial Regional Hospital,26.01965,-80.18006,9.857147849
64,IL,Alexian Brothers Women & Children's Hospital,17,42.05247,-88.14443,Northwestern Medicine-Central DuPage Hospital,41.8732,-88.15727,19.94040792
65,NV,Children's Hospital of Nevada,32,36.15894,-115.16743,Loma Linda University Medical Center,34.04948,-117.26366,302.1324375
66,CA,Kaiser Permanente Pediatric Care Center Downey,6,33.91706,-118.12907,Los Alamitos Medical Center,33.80439,-118.06662,13.76874703
67,IL,OSF Healthcare Children's Hospital of Illinois,17,40.702168,-89.5912,Carle Foundation Hospital,40.11695,-88.21506,133.6659196
68,NC,Cone Health Children's Services,37,36.091095,-79.788795,Novant Health Forsyth Medical Center,36.07546,-80.29654,45.76482395
69,OK,The Children's Hospital at Saint Francis,40,36.075058,-95.922134,Hillcrest Medical Center,36.14687,-95.9684,8.991501589
70,CA,UCLA Mattel Childrens Hospital,6,34.06592,-118.44521,Kaiser Foundation Hospital - Los Angeles,34.098512,-118.292503,14.55047222
71,TN,Monroe Carell Jr. Children's Hospital at Vanderbilt,47,36.139005,-86.802607,TriStar Skyline Medical Center,36.24598,-86.74965,12.79022681
72,NE,Children's Hospital & Medical Center,31,41.259686,-96.04045,Saint Luke's Hospital of Kansas City,39.04664,-94.59012,275.0411796
73,TX,Covenant Children's,48,33.5741,-101.90108,John Peter Smith Hospital,32.72712,-97.32696,436.9132907
74,FL,Wolfson Children's Hospital,12,30.316278,-81.66424,UF Health Jacksonville,30.3478,-81.66435,3.494483691
75,IL,Advocate Children's Hospital - Park Ridge,17,42.038222,-87.848316,Northwest Community Hospital,42.06733,-87.99133,12.2725584
76,MI,Beaumont Children's Hospital,26,42.517754,-83.19112,Ascension St. John Hospital,42.41977,-82.91451,25.21816715
77,CA,Children's Hospital of Los Angeles,6,34.098152,-118.29069,Adventist Health Glendale,34.1511,-118.22985,8.123713498
78,MN,Children's Hospitals and Clinics of Minnesota,27,44.956806,-93.26255,"University of Minnesota Medical Center, Fairview",44.97128,-93.23061,2.989551548
79,MN,University of Minnesota Masonic Children's Hospital,27,44.965992,-93.2373,Abbott Northwestern Hospital,44.95397,-93.26171,2.344009492
80,NY,Cohen Children's Medical Center,36,40.752769,-73.708878,Mount Sinai Hospital,40.79038,-73.95339,21.06120926
81,OK,Oklahoma Children's Hospital at OU Health,40,35.481821,-97.497542,Mercy Hospital Oklahoma City,35.60718,-97.59948,16.70017869
82,CA,Cottage Children's Medical Center,6,34.42935,-119.72318,Ronald Reagan UCLA Medical Center,34.065113,-118.446424,124.3554518
83,IL,Comer Children's Hospital at University of Chicago Medical Center,17,41.790287,-87.604935,Rush University Medical Center,41.87449,-87.66819,10.72740531
84,IL,HSHS St Johns Children's Hospital,17,39.80728,-89.64558,Carle Foundation Hospital,40.11695,-88.21506,126.9676848
85,DC,Children's National Hospital,11,38.926273,-77.012764,Johns Hopkins Bayview Medical Center,39.28978,-76.54689,57.02885613
86,MO,SSM Cardinal Glennon Children's Medical Center,29,38.621086,-90.23844,Mercy Hospital South,38.50744,-90.38037,17.66823687
87,CA,Lucile Packard Children's Hospital Stanford,6,37.43723,-122.17435,Good Samaritan Hospital,37.25221,-121.94665,28.7876757
88,CA,Rady Children's Hospital San Diego,6,32.798603,-117.1508,Sharp Grossmont Hospital,32.780656,-117.007283,13.59039617
89,NY,Maria Fareri Children's Hospital at Westchester Medical Center,36,41.087883,-73.80399,Mount Sinai Hospital,40.79038,-73.95339,35.35297885
90,NY,The Children's Medical Center at NYU Winthrop Hospital,36,40.741695,-73.64331,Mount Sinai Hospital,40.79038,-73.95339,26.7330559
91,VA,Inova Children's Hospital,51,38.858765,-77.22603,Johns Hopkins Bayview Medical Center,39.28978,-76.54689,75.78558003
92,MA,Baystate Children's Hospital,25,42.11899,-72.60416,Yale New Haven Hospital (York St. Campus),41.30429,-72.93515,94.58657452
93,AZ,Phoenix Children's Hospital,4,33.480274,-112.040665,Tucson Medical Center,32.25224,-110.87984,174.2153774
94,FL,The Studer Family Children's Hospital at Ascension Sacred Heart,12,30.47732,-87.212031,Southeast Health,31.21588,-85.36301,194.9013203
95,KY,Kentucky Children's Hospital,21,38.03282,-84.506836,University of Louisville Medical Center,38.248187,-85.744585,111.1079905
96,MI,Children's Hospital of Michiga,26,42.35165,-83.054318,William Beaumont Hospital,42.515721,-83.194093,21.55099207
97,FL,Holtz Children's Hospital Jackson Memorial Hospital,12,25.790646,-80.21504,Mount Sinai Medical Center,25.81312,-80.13938,7.985623216
98,MN,Hennepin County Medical Center,27,44.972786,-93.26274,"University of Minnesota Medical Center, Fairview",44.97128,-93.23061,2.54010058
99,CA,CHOC Children's Hospital of Orange County,6,33.78033,-117.86507,St. Jude Medical Center,33.89463,-117.92718,13.92063766
100,CA,Community Regional Medical Center,6,36.741882,-119.78389,Stanford Health Care,37.433409,-122.175721,226.0721737
101,RI,Hasbro Children's Hospital at Rhode Island Hospital,44,41.81175,-71.407074,Brigham & Women's Hospital,42.33611,-71.10748,63.30033838
102,WI,Marshfield Children's Hospital,55,44.676277,-90.180046,University of Wisconsin Hospitals and Clinics Authority,43.076545,-89.43396,187.5859634
103,LA,Children's Hospital New Orleans,22,29.917667,-90.126976,Tulane University Hospital and Clinic,29.95983,-90.07649,6.752958086
104,TX,Driscoll Children's Hospital,48,27.748377,-97.38436,Doctors Hospital at Renaissance,26.25384505,-98.2063599,184.6046731
105,NE,Boys Town National Research Hospital,31,41.264412,-95.95661,Saint Luke's Hospital of Kansas City,39.04664,-94.59012,272.3806788
106,NC,Levine Children's Hospital,37,35.204636,-80.8384,Novant Health Forsyth Medical Center,36.07546,-80.29654,108.3690943
107,CA,California Pacific Medical Center,6,37.78575,-122.42149,Kaiser Foundation Hospital - Redwood City,37.489193,-122.22337,37.27147506
108,WA,Mary Bridge Children's Hospital & Health Center,53,47.25993,-122.453514,Providence St. Peter's Hospital,47.05274,-122.84462,37.55296945
109,SC,Prisma Health Children's Hospital-Upstate,45,34.821472,-82.41376,Carolinas Medical Center,35.09197,-80.87117,144.052994
110,CA,Kaiser Permanente Pediatric Care Center,6,34.09815,-118.29542,Cedars-Sinai Health System,34.076055,-118.377725,7.981562712
111,NJ,The Children's Hospital at Saint Peter's University Hospital,34,40.501846,-74.45922,Capital Health Regional Medical Center,40.23608,-74.75259,38.6230615
112,VA,Children's Hospital of the King's Daughters,51,36.86134,-76.30162,Virginia Commonwealth University Health System Authority,37.540289,-77.430789,125.4041741
113,TX,Texas Children's Hospital,48,29.708263,-95.40344,Ben Taub Hospital,29.71074,-95.394447,0.912505492
114,GA,Beverly Knight Olson Children's Hospital,13,32.833076,-83.63632,WellStar Kennestone Regional Medical Center,33.969758,-84.55109,152.1026139
115,TN,St. Jude Children's Research Hospital,47,35.154635,-90.042849,Saint Thomas West Hospital,36.12984,-86.84392,309.2493374
116,OH,UH Rainbow Babies & Children's Hospital,39,41.506626,-81.608055,MetroHealth Medical Center,41.46195,-81.69706,8.937286889
117,NY,Golisano Children's Hospital at the University of Rochester Medical Center,36,43.121896,-77.623377,Upstate Medical University,43.04215,-76.14025,121.0975161
118,CT,Yale-New Haven Children's Hospital,9,41.30439,-72.934555,Hartford Hospital,41.75437,-72.67905,54.3357345
119,TX,El Paso Children's Hospital,48,31.770267,-106.43305,Banner - University Medical Center Tucson Campus,32.24243,-110.94733,429.7070475
120,FL,Tampa General Hospital Children's Medical Center,12,27.93754,-82.460393,AdventHealth Tampa,28.072027,-82.423572,15.33750211
121,OR,Providence St. Vincent Medical Center,41,45.50894,-122.77164,Providence St. Peter's Hospital,47.05274,-122.84462,171.6959997
122,IN,Peyton Manning Children's Hospital at St. Vincent,18,39.91203,-86.19653,Lutheran Hospital,41.039585,-85.248834,148.77672
123,FL,Nemours Children's Hospital,12,28.377819,-81.272561,AdventHealth Orlando,28.57325,-81.36974,23.65749454
124,WI,HSHS St Vincent Children's Hospital,55,44.501484,-88.012856,Froedtert Memorial Lutheran Hospital,43.040967,-88.024495,162.2775056
125,NY,The Mount Sinai Kravis Children's Hospital,36,40.79013,-73.95413,Montefiore Medical Center - Henry and Lucy Moses Division,40.880331,-73.880149,11.80144424
126,AL,University of South Alabama Children's and Women's Hospital,1,30.696112,-88.076904,Tulane University Hospital and Clinic,29.95983,-90.07649,208.896316
127,CA,UCSF Benioff Children's Hospital San Francisco,6,37.76509,-122.390579,John Muir Medical Center -- Walnut Creek Campus,37.913214,-122.041935,34.81541691
128,OH,Akron Children's Hospital,39,41.078928,-81.526529,University Hospitals Cleveland Medical Center,41.50684,-81.60669,47.99569866
129,PA,St. Christopher's Hospital for Children,42,40.00684,-75.13117,Cooper University Hospital,39.94152,-75.1168,7.355903176
130,NJ,The Children's Regional Hospital at Cooper,34,39.940807,-75.115746,Hospital of the University of Pennsylvania,39.950567,-75.193751,6.753929428
131,WV,West Virginia University Children's Hospital,54,39.653323,-79.957894,UPMC Presbyterian,40.44178,-79.9612,87.54721094
132,PA,UPMC Children's Hospital of Pittsburgh,42,40.46656,-79.95374,Allegheny General Hospital,40.45704,-80.00362,4.360690573
133,TN,Children's Hospital at Erlanger,47,35.049877,-85.29069,The University of Tennessee Medical Center,35.94016,-83.94502,157.0480256
134,TX,Baylor Scott White McLane Children's Medical Center,48,31.07479,-97.37541,St. David's Medical Center,30.29068,-97.72674,93.22010832
135,MI,Helen DeVos Children's Hospital,26,42.970505,-85.66637,Metro Health University of Michigan Health,42.8575,-85.71897,13.26824433
136,NM,University of New Mexico Children's Hospital,35,35.087482,-106.61643,Tucson Medical Center,32.25224,-110.87984,505.1063262
137,FL,Palm Beach Children's Hospital,12,26.753117,-80.06258,Welligton Regional Medical Center,26.65152,-80.20451,18.06122271
138,TX,Cook Children's Medical Center,48,32.7384,-97.341965,John Peter Smith Hospital,32.72712,-97.32696,1.882299656
139,FL,UF Health Shands Children's Hospital,12,29.640626,-82.342372,North Florida Regional Medical Center,29.66046,-82.41225,7.114008447
140,OH,ProMedica Toledo Children's Hospital,39,41.67143,-83.594025,University of Michigan Hospital,42.283801,-83.733283,68.99004224
141,FL,Joe DiMaggio Children's Hospital at Memorial Regional Hospital,12,26.018462,-80.179677,Broward Health Medical Center,26.10207,-80.14087,10.04390795
142,DE,Nemours Alfred I. duPont Hospital for Children,10,39.780361,-75.554057,Thomas Jefferson University Hospitals,39.94982,-75.15867,38.71021936
143,NJ,The Children's Hospital at Monmouth Medical Center,34,40.29536,-73.983635,NYU Langone Hospital - Brooklyn,40.64662,-74.02058,39.13083854
144,NV,Renown Children's Hospital,32,39.523884,-119.79471,Kaiser Foundation Hospital - Sacramento,38.602029,-121.39257,172.0386034
145,IL,Rush University Children's Hospital,17,41.87514,-87.668564,Northwestern Memorial Hospital,41.89495,-87.62223,4.430673864
146,WV,Hoops Family Children's Hospital,54,38.408978,-82.4282,Ohio State University Wexner Medical Center,39.99493,-83.01756,183.2820617
147,MO,Women's and Children's Hospital University of Missouri Health Care,29,38.953888,-92.29022,SSM Health DePaul Hospital - St. Louis,38.74999,-90.43413,162.7001685
148,MA,Umass Memorial Children's Medical Center,25,42.279568,-71.75844,Beth Israel Deaconess Hospital â€“ West Campus,42.338036,-71.108993,53.93853205
149,VA,Carilion Clinic Children's Hospital,51,37.25206,-79.94169,Novant Health Forsyth Medical Center,36.07546,-80.29654,134.36732
150,NJ,Saint Barnabas Children's Center Saint Barnabas Medical Center,34,40.765194,-74.301834,JFK Medical Center,40.55625,-74.35119,23.57508889
151,OH,Nationwide Children's Hospital,39,39.952354,-82.97852,Mount Carmel East,39.97755,-82.84295,11.91582848
152,NC,WakeMed Children's Hospital,37,35.786182,-78.589,Vidant Medical Center,35.60712,-77.40456,109.0256997
153,CA,Loma Linda University Children's Hospital,6,34.049915,-117.26114,Pomona Valley Hospital Medical Center,34.07709,-117.75062,45.28721309
154,WI,Gundersen Lutheran Medical Center,55,43.795197,-91.24693,United Hospital,44.94289,-93.10753,195.5870705
155,SD,Sanford Children's Hospital,46,43.53305,-96.7451,Park Nicollet Methodist Hospital,44.93031,-93.36109,311.7301652
156,WI,American Family Children's Hospital,55,43.078274,-89.433365,OSF Healthcare Saint Anthony Medical Center,42.26721,-89.00775,96.61688041
157,CA,University of California Davis Children's Hospital,6,38.553677,-121.45684,John Muir Medical Center -- Walnut Creek Campus,37.913214,-122.041935,87.62526257
158,MI,C.S. Mott Children's Hospital,26,42.281645,-83.728319,William Beaumont Hospital,42.515721,-83.194093,51.0942351
159,MA,MassGeneral Hospial for Children,25,42.36244,-71.06983,Boston Medical Center Menino Pavilion,42.334834,-71.073608,3.082236301
160,NC,Novant Health Hemby Children's Hospital,37,35.212986,-80.825485,Novant Health Forsyth Medical Center,36.07546,-80.29654,107.0141465
161,TX,Dell Children's Medical Center of Central Texas,48,30.30131,-97.70575,Dell Seton Medical Center at The University of Texas,30.276308,-97.733694,3.861270538
162,ID,St. Luke's Children's Hospital,16,43.612453,-116.19273,Providence Sacred Heart Medical Center and Children's Hospital,47.648887,-117.413419,458.5954005
163,AZ,Cardon's Children's Medical Center,4,33.38917,-111.874664,Tucson Medical Center,32.25224,-110.87984,156.7656516
164,GA,Children's Healthcare of Atlanta,13,33.82971,-84.32975,WellStar Kennestone Regional Medical Center,33.969758,-84.55109,25.69886721
165,OK,The Children's Hospital at OU Medical Center,40,35.481837,-97.49754,Mercy Hospital Oklahoma City,35.60718,-97.59948,16.69880015
166,TX,Children's Hospital of San Antonio,48,29.428179,-98.49776,St. Luke's Baptist Hospital,29.51227,-98.57471,11.94099616
167,AL,Children's of Alabama,1,33.503292,-86.805305,Erlanger Health System,35.04872,-85.29043,221.0081906
168,CT,Connecticut Children's Medical Center,9,41.75501,-72.682655,UMass Memorial Medical Center â€“ University Campus,42.27625,-71.76208,95.73959495
169,RI,Women and Infants Hospital of Rhode Island,44,41.81026,-71.41101,Brigham & Women's Hospital,42.33611,-71.10748,63.58073219
170,WA,Sacred Heart Children's Hospital,53,47.648492,-117.411761,Swedish Cherry Hill,47.60687,-122.31022,368.139492
171,NJ,Goryeb Children's Hospital,34,40.788794,-74.465023,St. Joseph's Regional Medical Center,40.902719,-74.165087,28.28144842
172,TN,Niswonger Children's Hospital,47,36.308666,-82.386536,Fort Sanders Regional Medical Center,35.9572,-83.93717,144.9199282
173,KY,Norton Children's Hospital,21,38.247967,-85.74881,Baptist Health Lexington,38.01849,-84.51236,111.355051
174,NY,New York Presbyterian Komansky Chilldren's Hospital,36,40.764214,-73.955414,NYU Langone Hospital - Brooklyn,40.64662,-74.02058,14.17233795
175,NY,New York Presbyterian Morgan Stanley Children's Hospital,36,40.839447,-73.940956,NYU Langone Hospitals,40.7423,-73.9743,11.14918994
176,MT,Montana Childrens Medical Center,30,48.215458,-114.3249,St. Luke's Regional Medical Ceter - Boise,43.612338,-116.191892,531.6980342
177,NY,John R. Oishei Children's Hospital,36,42.90057,-78.867165,UPMC Hamot,42.1339,-80.08728,131.5494545
178,MO,Mercy Children's Hospital - Springfield,29,37.178185,-93.275826,University of Missouri Hospital and Clinics,38.9380123,-92.3273053,212.3311868
179,FL,Arnold Palmer Hospital for Children,12,28.523851,-81.379684,Osceola Regional Medical Center,28.29946,-81.4101,25.04633451
180,CA,Miller Children's & Women's Hospital Long Beach,6,33.80769,-118.18502,Torrance Memorial Medical Center,33.81093,-118.34442,14.76333236
181,IL,Children's Hospital of the Univerisyt of Illinois,17,41.869205,-87.670715,Northwestern Memorial Hospital,41.89495,-87.62223,4.936890015
182,NH,Children's Hospital at Dartmouth-Hitchcock,33,40.788802,-74.465224,St. Joseph's Regional Medical Center,40.902719,-74.165087,28.29621079
183,FL,Johns Hopkins All Children's Hospital,12,27.764278,-82.64021,Northside Hospital,27.825606,-82.701635,9.101075281
184,OH,Dayton Children's Hospital,39,39.774124,-84.169754,University of Cincinnati Medical Center,39.13737,-84.50347,76.30686723
185,TN,East Tennessee Children's Hospital,47,35.956547,-83.93782,Mission Hospital,35.58034,-82.549919,132.2611162
186,MD,Johns Hopkins Children's Center,24,39.295277,-76.59097,Johns Hopkins Bayview Medical Center,39.28978,-76.54689,3.851378268
187,NY,Stony Brook Children's Hospital,36,40.91326,-73.116516,Yale New Haven Hospital (York St. Campus),41.30429,-72.93515,46.02079815
188,CA,Sutter Children's Center,6,38.57042,-121.47027,John Muir Medical Center -- Walnut Creek Campus,37.913214,-122.041935,88.46604992
189,CA,Kaiser Foundation Hospital - Roseville Women's and Children's Service,6,38.74825,-121.24763,John Muir Medical Center -- Walnut Creek Campus,37.913214,-122.041935,115.8226217
190,MO,Mercy Children's Hospital - St. Louis,29,38.644516,-90.44344,Mercy Hospital South,38.50744,-90.38037,16.17857221
191,MO,St. Louis Children's Hospital,29,38.637283,-90.265182,Mercy Hospital South,38.50744,-90.38037,17.5645429
192,IA,MercyOne Children's Hospital - Des Moines,19,41.597763,-93.62566,Mayo Clinic Hospital â€” Rochester,44.0200009,-92.483254,284.8379795
193,NC,James and Connie Maynard Children's Hospital at Vidant Medical Center,37,35.6058,-77.40124,University of North Carolina Hospitals,35.904412,-79.04904,152.6661551
194,IA,University of Iowa Stead Family Children's Hospital,19,41.65727,-91.54992,OSF Healthcare Saint Anthony Medical Center,42.26721,-89.00775,221.3562195
195,NC,Betty H Cameron Womens Childrens Hospital,37,34.20638,-77.92425,Vidant Medical Center,35.60712,-77.40456,162.4918652
196,OH,Cincinnati Children's Hospital Medical Center,39,39.141247,-84.500374,Kettering Medical Center,39.69688,-84.19247,67.14501563
197,MO,CoxHealth,29,37.143776,-93.27797,University of Missouri Hospital and Clinics,38.9380123,-92.3273053,215.9294934
198,OH,Cleveland Clinic Children's,39,41.50342,-81.6215,MetroHealth Medical Center,41.46195,-81.69706,7.81265846
199,ME,The Barbara Bush Children's Hospital at Maine Medical Center,23,43.652256,-70.27507,Mass General Hospital,42.36278,-71.06867,157.1840797
200,NC,Wake Forest Baptist Health - Brenner Children's Hospital,37,36.090751,-80.270156,Moses H. Cone Memorial Hospital,36.091918,-79.785944,43.60808941
201,MN,St. Mary's Children's Hospital,27,46.7929,-92.096344,North Memorial Health Hospital,45.01381,-93.32168,219.4098856
