STATE,HOSPITAL,CITY,ZIPCODE,CERT_DESIGNATION,CERT_ORG,OBJECTID,HOSPITAL_LAT,HOSPITAL_LONG,
Alabama,Medical Center Enterprise,Enterprise,36330,Acute Stroke Ready,The Joint Commission,174,31.31874,-85.85515,
Alabama,Medical Center Barbour,Eufaula,36027,Level III,State,171,31.88871,-85.15617,
Alabama,Marshall Medical Center South,Boaz,35957,Level III,State,168,34.22165,-86.16005,
Alabama,Marshall Medical Center North,Guntersville,35976,Level III,State,165,34.36464,-86.42198,
Alabama,Madison Hospital ,Madison,35758,Level III,State,106,34.74834,-86.76531,
Alabama,Lakeland Community Hospital ,Haleyville,35565,Level III,State,103,34.24107,-87.59134,
Alabama,Jackson Medical Center ,Jackson,36545,Level III,State,361,31.53168,-87.89546,
Alabama,Jackson Hospital,Montgomery,36106,Primary Stroke Center,The Joint Commission,247,32.3669,-86.28485,
Alabama,Huntsville Hospital,Huntsville,35801,Primary Stroke Center,The Joint Commission,243,34.72001,-86.57529,
Alabama,Highlands Medical Center ,Scottsboro,35768,Level III,State,360,34.66178,-86.04742,
Alabama,Helen Keller Hospital,Sheffield,35660,Level II,State,239,34.74586,-87.69947,
Alabama,Grove Hill Memorial Hospital ,Grove Hill,36451,Level III,State,359,31.69423,-87.77625,
Alabama,Grandview Medical Center,Birmingham,35243,Primary Stroke Center,The Joint Commission,235,33.43322,-86.71772,
Alabama,Gadsden Regional Medical Center,Gasden,35903,Primary Stroke Center,The Joint Commission,232,34.00829,-85.96629,
Alabama,Flowers Hospital,Dothan,36305,Primary Stroke Center,The Joint Commission,230,31.2381,-85.45711,
Alabama,Fayette Medical Center ,Fayette,35555,Level III,State,358,33.70798,-87.82413,
Alabama,East Alabama Medical Center ,Opelika,36801,Level III,State,357,32.63889,-85.40554,
Alabama,DeKalb Regional Medical Center ,Fort Payne,35958,Primary Stroke Center,The Joint Commission,356,34.44091,-85.75603,
Alabama,Decatur Morgan Parkway ,Decatur,35603,Level III,State,355,34.57335363,-87.07108239,
Alabama,Decatur Morgan Hospital ,Decatur,35601,Level III,State,354,34.6064735,-86.9813904,
Alabama,DCH Regional Medical Center,Tuscaloosa,35401,Level II,State,228,33.20521,-87.52545,
Alabama,Dale Medical Center ,Ozark,36360,Level III,State,353,31.45182,-85.63109,
Alabama,D.W. McMillan Memorial Hospital ,Brewton,36426,Level III,State,352,31.12698,-87.07298,
Alabama,Cullman Regional Medical Center ,Cullman,35058,Level III,State,351,34.20098,-86.80505,
Alabama,Crestwood Medical Center,Huntsville,35801,Primary Stroke Center,The Joint Commission,226,34.69281,-86.57181,
Alabama,Crenshaw Community Hospital ,Luverne,36049,Level III,State,350,31.69335,-86.26509,
Alabama,Coosa Valley Medical Center ,Sylacauga,35150,Level III,State,349,33.16461,-86.25504,
Alabama,Community Hospital,Tallassee,36078,Level III,State,348,32.5343,-85.91222,
Alabama,Citizens Baptist Medical Center,Talladega,35160,Level III,State,347,33.44002,-86.09088,
Alabama,Bryan W. Whitfield Memorial Hospital,Demopolis,36732,Level III,State,346,32.50479,-87.83668,
Alabama,Brookwood Medical Center Freestanding Emergency Department,Hoover,35242,Level III,State,345,33.41917064,-86.71969361,
Alabama,Brookwood Baptist Medical Center,Birmingham,35209,Primary Stroke Center,The Joint Commission,224,33.46347,-86.77668,
Alabama,Birmingham VA Medical Center,Birmingham,35233,Level II,State,222,33.5053,-86.807435,
Alabama,Baptist Medical Center South,Montgomery,36116,Primary Stroke Center,The Joint Commission,221,32.32751,-86.27742,
Alabama,Baptist Medical Center East,Montgomery,36117,Level III,State,344,32.3762,-86.17456,
Alabama,Athens Limestone Hospital,Athens,35611,Level III,State,343,34.80387,-86.97899,
Alabama,Andalusia Health,Andalusia,36420,Level III,State,342,31.29629,-86.49483,
Alaska,Providence Alaska Medical Center,Anchorage,99519,Primary Stroke Center,The Joint Commission,170,61.18764,-149.8191,
Alaska,Mat-Su Regional Medical Center,Palmer,99645,Acute Stroke Ready Hospital             ,The Joint Commission,81,61.56297,-149.25781,
Alaska,Alaska Regional Hospital,Anchorage,99508,Primary Stroke Center,The Joint Commission,140,61.21031,-149.82845,
Arizona,Tucson Medical Center,Tucson,85712,Comprehensive Stroke Center,HFAP,276,32.25224,-110.87984,
Arizona,Summit Healthcare Association,Show Low,85901,Primary Stroke Center,DNV GL,268,34.2585298,-110.0836179,
Arizona,Scottsdale Shea Medical Center,Scottsdale ,85260,Primary Stroke Center,DNV GL,266,33.58102,-111.88528,
Arizona,Scottsdale Osborn Medical Center,Scottsdale ,85251,Primary Stroke Center,DNV GL,264,33.48848,-111.92291,
Arizona,Northwest Medical Center,Tucson,85741,Primary Stroke Center,HFAP,274,32.32,-111.00978,
Arizona,Mountain Vista Medical Center,Mesa,85209,Primary Stroke Center,DNV GL,261,33.39128,-111.61125,
Arizona,John C. Lincoln North Mountain Hospital,Phoenix,85020,Primary Stroke Center,DNV GL,259,33.569355,-112.06737,
Arizona,John C. Lincoln Medical Center,Phoenix,85020,Primary Stroke Center,DNV GL,257,33.56946,-112.07058,
Arizona,HonorHealth Deer Valley Medical Center,Phoenix,85027,Primary Stroke Center,DNV GL,255,33.66589,-112.11594,
Arizona,Flagstaff Medical Center,Flagstaff,86001,Primary Stroke Center,DNV GL,253,35.20858,-111.64509,
Arizona,Copper Queen Community Hospital Douglas,Douglas,85607,Stroke Ready,HFAP,272,31.34448,-109.549995,
Arizona,Copper Queen Community Hospital Bisbee,Bisbee,85603,Stroke Ready,HFAP,270,31.4178,-109.88307,
Arkansas,WRMC Cherokee Village,Cherokee Village,72529,Stroke Ready,State,114,36.2700576,-91.5717229,
Arkansas,White River Medical Center,Batesville,72501,Stroke Ready,State,113,35.76804,-91.63408,
Arkansas,Washington Regional Medical Center,Fayetteville,72703,Comprehensive Stroke Center,The Joint Commission,117,36.10948,-94.15814,
Arkansas,UAMS Medical Center,Little Rock,72205,Comprehensive Stroke Center,The Joint Commission,116,34.74435234,-92.38446501,
Arkansas,St. Mary's Regional Medical Center,Russellville,72801,Stroke Ready,State,112,35.27644,-93.136045,
Arkansas,St. Bernards Medical Center,Jonesboro,72401,Stroke Ready,State,111,35.83633,-90.70249,
Arkansas,Ozark Health Medical Center,Clinton,72031,Stroke Ready,State,110,35.592425,-92.4603,
Arkansas,Ouachita County Medical Center,Camden,71701,Stroke Ready,State,109,33.57548,-92.83583,
Arkansas,Northwest Arkansas Hospitals,Springdale,72764,Primary Stroke Center,The Joint Commission,120,36.16255,-94.19013,
Arkansas,National Park Medical Center,Hot Springs,71901,Stroke Ready,State,108,34.486,-93.03521,
Arkansas,Mercy Hospital Waldron,Waldron,72958,Stroke Ready,State,107,34.89473,-94.10615,
Arkansas,Mercy Hospital Paris,Paris,72855,Stroke Ready,State,104,35.28903,-93.72505,
Arkansas,Mercy Hospital Ozark,Ozark,72949,Stroke Ready,State,327,35.48607,-93.83357,
Arkansas,Mercy Hospital Northwest Arkansas,Rogers,72758,Acute Stroke Ready Hospital,The Joint Commission,115,36.3096,-94.183,
Arkansas,Mercy Hospital Fort Smith,Fort Smith,72903,Primary Stroke Center,The Joint Commission,118,35.35379,-94.35294,
Arkansas,Mercy Hospital Booneville,Booneville,72927,Stroke Ready,State,326,35.14045,-93.93466,
Arkansas,Medical Center of South Arkansas,El Dorado ,71730,Stroke Ready,State,325,33.21852,-92.6723,
Arkansas,Johnson Regional Medical Center,Clarksville,72830,Stroke Ready,State,324,35.46189,-93.44525,
Arkansas,Fulton County Hospital,Salem,72576,Stroke Ready,State,323,36.38294,-91.81079,
Arkansas,Forrest City Medical Center,Forrest City,72335,Stroke Ready,State,322,35.02609,-90.77931,
Arkansas,"Five Rivers Medical Center (Pocahontas, AR)",Pocahontas,72455,Stroke Ready,State,321,36.2666518,-90.9712888,
Arkansas,Drew Memorial Hospital,Monticello,71655,Stroke Ready,State,320,33.630865,-91.788945,
Arkansas,Dallas County Medical Center,Fordyce,71742,Stroke Ready,State,319,33.81084,-92.42505,
Arkansas,Conway Regional Medical Center,Conway,72034,Stroke Ready,State,318,35.08592,-92.45724,
Arkansas,Chicot Memorial Medical Center,Lake Village,71653,Stroke Ready,State,317,33.3062,-91.29037,
Arkansas,CHI St. Vincent Hot Springs,Hot Springs,71913,Stroke Ready,State,316,34.46783,-93.06666,
Arkansas,Baxter Regional Medical Center,Mountain Home,72653,Stroke Ready,State,315,36.34297,-92.39585,
Arkansas,Baptist Health Medical Center - Stuttgart,Stuttgart,72160,Stroke Ready,State,314,34.51764,-91.55932,
Arkansas,Baptist Health Medical Center - North Little Rock,North Little Rock,72117,Stroke Ready,State,313,34.78353,-92.22212,
Arkansas,Baptist Health Medical Center - Little Rock,Little Rock,72205,Primary Stroke Center,The Joint Commission,119,34.74457,-92.38198,
Arkansas,Baptist Health Medical Center - Hot Spring County,Malvern,72104,Stroke Ready,State,312,34.35914,-92.78565,
Arkansas,Baptist Health Medical Center - Heber Springs,Heber Springs,72543,Stroke Ready,State,282,35.50453,-92.00071,
Arkansas,Baptist Health Medical Center - Arkadelphia,Arkadelphia,71923,Stroke Ready,State,280,34.12318,-93.08849,
Arkansas,Ashley County Medical Center,Crossett,71635,Stroke Ready,State,278,33.13824,-91.93917,
California,Zuckerberg San Francisco General Hospital,San Francisco,94110,Primary Stroke Center,The Joint Commission,40,37.75563,-122.4051,
California,White Memorial Medical Center,Los Angeles,90033,Primary Stroke Center,The Joint Commission,18,34.04914,-118.21854,
California,West Hills Hospital and Medical Center,West Hills,91307,Primary Stroke Center Plus,DNV GL,71,34.20301,-118.6286,
California,Washington Hospital Healthcare System,Fremont,94538,Primary Stroke Center,The Joint Commission,17,37.55712,-121.98036,
California,Ventura County Medical Center,Ventura,93003,Primary Stroke Center,The Joint Commission,366,34.27716,-119.25269,
California,Valley Presbyterian Hospital,Van Nuys,91405,Primary Stroke Center,DNV GL,24,34.19494,-118.46319,
California,USC Verdugo Hills Hospital,Glendale,91280,Primary Stroke Center,DNV GL,23,34.20413,-118.21588,
California,"University of California, Davis Medical Center",Sacramento,95817,Primary Stroke Center,The Joint Commission,50,38.5558,-121.45751,
California,University of California San Diego Medical Center,San Diego,92103,Comprehensive Stroke Center,The Joint Commission,137,32.75388,-117.16555,
California,University of California Irvine,Orange,92868,Comprehensive Stroke Center,The Joint Commission,143,33.6425,-117.83685,
California,Universal Health Services of Rancho Springs,Murrieta,92562,Primary Stroke Center,The Joint Commission,368,33.53215,-117.177545,
California,Ukiah Adventist Hospital,Ukiah,95482,Primary Stroke Center,The Joint Commission,328,39.15216,-123.20274,
California,UCSF Medical Center,San Francisco,94143,Primary Stroke Center,The Joint Commission,41,37.76140116,-122.4583238,
California,UCSF Medical Center,San Francisco,94143,Comprehensive Stroke Center,The Joint Commission,131,37.76140116,-122.4583238,
California,Twin Cities Community Hospital,Templeton,93465,Primary Stroke Center,The Joint Commission,250,35.55535,-120.72066,
California,Tri-City Medical Center,Oceanside,92056,Thrombectomy Capable Stroke Center,The Joint Commission,391,33.18425,-117.29178,
California,Torrance Memorial Medical Center,Torrance,90505,Comprehensive Stroke Center,DNV GL,63,33.81093,-118.34442,
California,The Hospital Committee for the Livermore-Pleasanton Areas,Pleasanton,94588,Primary Stroke Center,The Joint Commission,286,37.693855,-121.90376,
California,Temecula Valley Hospital,Temecula,92592,Primary Stroke Center,The Joint Commission,385,33.48049,-117.10598,
California,Sutter Valley Hospitals,Auburn,95602,Primary Stroke Center,The Joint Commission,7,38.9582644,-121.1047657,
California,Sutter Valley Hospitals,Los Banos,93635,Primary Stroke Center,The Joint Commission,20,37.0749267,-120.8432869,
California,Sutter Valley Hospitals,Modesto,95355,Primary Stroke Center,The Joint Commission,154,37.674355,-120.947735,
California,Sutter Valley Hospitals,Sacramento,95816,Primary Stroke Center,The Joint Commission,156,38.57013504,-121.4729449,
California,Sutter Valley Hospitals,Roseville,95661,Primary Stroke Center,The Joint Commission,236,38.7255449,-121.251449,
California,Sutter Valley Hospitals,Jackson,95642,Primary Stroke Center,The Joint Commission,262,38.35359554,-120.7772754,
California,Sutter Valley Hospitals,Davis,95616,Primary Stroke Center,The Joint Commission,306,38.5474,-121.74053,
California,Sutter Valley Hospitals,Tracy,95376,Primary Stroke Center,The Joint Commission,310,37.73705,-121.427975,
California,Sutter Valley Hospitals,Vallejo,94589,Primary Stroke Center,The Joint Commission,364,38.149895,-122.261195,
California,Sutter Bay Hospitals,Novato,94945,Primary Stroke Center,The Joint Commission,12,38.111065,-122.57007,
California,Sutter Bay Hospitals,Santa Rosa,95403,Primary Stroke Center,The Joint Commission,60,38.46815,-122.762705,
California,Sutter Bay Hospitals,Lakeport,95453,Primary Stroke Center,The Joint Commission,281,39.046095,-122.91967,
California,Sutter Bay Hospitals,Castro Valley,94546,Primary Stroke Center,The Joint Commission,299,37.69629,-122.080915,
California,Sutter Bay Hospitals,Oakland,94609,Primary Stroke Center,The Joint Commission,381,37.83143,-122.26383,
California,Sutter Bay Hospitals,Burlingame,94010,Thrombectomy Capable Stroke Center,The Joint Commission,393,37.5919,-122.36843,
California,Stanford Health Care,Stanford,94305,Comprehensive Stroke Center,The Joint Commission,135,37.42907,-122.16978,
California,St. Mary Medical Center,Apple Valley,92307,Primary Stroke Center,The Joint Commission,4,34.541905,-117.26681,
California,St. Mary Medical Center,Long Beach,90813,Thrombectomy Capable Stroke Center,The Joint Commission,398,33.77997,-118.18585,
California,St. Jude Medical Center,Fullerton,92835,Comprehensive Stroke Center,The Joint Commission,145,33.89463,-117.92718,
California,St. Joseph Hospital,Orange,92863,Primary Stroke Center,The Joint Commission,11,33.80532,-117.835685,
California,St. Joseph Health Northern California,Napa,94558,Primary Stroke Center,The Joint Commission,14,38.3282246,-122.3281146,
California,St. John's Regional Medical Center,Oxnard,93030,Thrombectomy Capable Stroke Center,The Joint Commission,392,34.21674,-119.15631,
California,St. John's Pleasant Valley Hospital,Camarillo,93010,Primary Stroke Center,The Joint Commission,258,34.24358,-119.01991,
California,St. Francis Medical Center,Lynwood,90262,Primary Stroke Center,The Joint Commission,22,33.92984,-118.2031,
California,St Joseph Health Northern CA,Santa Rosa,95405,Primary Stroke Center,The Joint Commission,59,38.434335,-122.666055,
California,SRM Alliance Hospital Services,Petaluma,94954,Acute Stroke Ready Hospital             ,The Joint Commission,125,38.2648131,-122.6408469,
California,South Coast Global Medical Center,Santa Ana,92704,Primary Stroke Center,HFAP,70,33.71109,-117.88427,
California,Simi Valley Hospital and Health Care Services,Simi Valley,93065,Primary Stroke Center,The Joint Commission,153,34.26765,-118.78299,
California,Sierra Vista Hospital,San Luis Obispo,93405,Thrombectomy Capable Stroke Center,The Joint Commission,389,35.260325,-120.694595,
California,Sierra Nevada Memorial-Miners Hospital,Grass Valley,95945,Primary Stroke Center,The Joint Commission,31,39.21548,-121.061695,
California,Sherman Oaks Hospital,Sherman Oaks,91403,Primary Stroke Center,The Joint Commission,139,34.1603,-118.44941,
California,Sharp Memorial Hospital,San Diego,92123,Primary Stroke Center,The Joint Commission,237,32.80006,-117.15517,
California,Sharp Coronado Hospital,Coronado,92118,Acute Stroke Ready Hospital             ,The Joint Commission,122,32.69432,-117.16791,
California,Sharp Chula Vista Medical Center,Chula Vista,91911,Primary Stroke Center,The Joint Commission,214,32.61887,-117.02267,
California,Seton Medical Center,Daly City,94015,Primary Stroke Center,The Joint Commission,37,37.6878672,-122.4766383,
California,Scripps Mercy Hospital,San Diego,92103,Primary Stroke Center,The Joint Commission,54,32.75151,-117.16085,
California,Scripps Memorial Hospital La Jolla,La Jolla,92037,Comprehensive Stroke Center,The Joint Commission,147,32.8851,-117.22368,
California,Scripps Memorial Hospital Encinitas,Encinitas,92024,Primary Stroke Center,The Joint Commission,252,33.03726,-117.28342,
California,Santa Ynez Valley Cottage Hospital,Solvang,93463,Acute Stroke Ready Hospital             ,The Joint Commission,126,34.60209,-120.12592,
California,Santa Monica-UCLA Medical Center and Orthopaedic Hospital,Santa Monica,90404,Primary Stroke Center,The Joint Commission,58,34.02675,-118.48614,
California,Santa Clara Valley Medical Center,San Jose,95128,Primary Stroke Center,The Joint Commission,263,37.31342,-121.93421,
California,Santa Barbara Cottage Hospital,Santa Barbara,93105,Comprehensive Stroke Center,The Joint Commission,152,34.42953,-119.72333,
California,San Ramon Regional Medical Center,San Ramon,94583,Primary Stroke Center,The Joint Commission,241,37.77607,-121.9583,
California,San Joaquin General Hospital,French Camp,95231,Primary Stroke Center,The Joint Commission,301,37.88664,-121.28308,
California,San Joaquin Community Hospital,Bakersfield,93301,Primary Stroke Center,The Joint Commission,9,35.37884,-119.016405,
California,San Antonio Regional Hospital,Upland,91786,Primary Stroke Center,The Joint Commission,362,34.10064,-117.63821,
California,Salinas Valley Memorial Healthcare System,Salinas,93901,Primary Stroke Center,The Joint Commission,51,36.65909,-121.64629,
California,Saint Francis Memorial Hospital,San Francisco,94109,Primary Stroke Center,The Joint Commission,38,37.78977,-122.41686,
California,Saint Agnes Medical Center,Fresno,93720,Primary Stroke Center,The Joint Commission,303,36.8353,-119.76574,
California,Saddleback Memorial Medical Center,Laguna Hills,92653,Thrombectomy Capable Stroke Center,The Joint Commission,396,33.6238464,-117.736082,
California,Ronald Reagan UCLA Medical Center,Los Angeles,90095,Comprehensive Stroke Center,The Joint Commission,141,34.07329,-118.44482,
California,Riverside University Health System - Medical Center,Moreno Valley,92555,Primary Stroke Center,The Joint Commission,5,33.9119,-117.19569,
California,Riverside Community Hospital,Riverside,92501,Comprehensive Stroke Center,DNV GL,62,33.9765,-117.38146,
California,Rideout Memorial Hospital,Marysville,95901,Primary Stroke Center,The Joint Commission,265,39.143975,-121.592645,
California,Regional Medical Center of San Jose,San Jose,95116,Comprehensive Stroke Center,The Joint Commission,132,37.36271,-121.84786,
California,Redlands Community Hospital,Redlands,92373,Primary Stroke Center,The Joint Commission,45,34.03678,-117.20577,
California,Providence Tarzana Medical Center,Tarzana,91356,Primary Stroke Center,The Joint Commission,375,34.16988,-118.53123,
California,Providence Saint John's Health Center,Santa Monica,90404,Thrombectomy Capable Stroke Center,The Joint Commission,388,34.03006,-118.47833,
California,Providence Holy Cross Medical Center,Mission Hills,91345,Primary Stroke Center Plus,DNV GL,66,34.28026,-118.46,
California,Providence Health System - Southern California,Torrance,90503,Comprehensive Stroke Center,The Joint Commission,151,33.84136,-118.351545,
California,Providence Health System - Southern California,San Pedro,90732,Primary Stroke Center,The Joint Commission,157,33.72969,-118.31192,
California,Providence Health System - Southern California,Burbank,91505,Thrombectomy Capable Stroke Center,The Joint Commission,399,34.155475,-118.34188,
California,Prime Healthcare Services-Shasta,Redding,96001,Primary Stroke Center,The Joint Commission,379,40.58254,-122.391535,
California,Prime Healthcare Paradise Valley,National City,91950,Primary Stroke Center,The Joint Commission,15,32.68562,-117.08221,
California,Port City Operating Company,Stockton,95204,Primary Stroke Center,The Joint Commission,248,37.974255,-121.296775,
California,Pomona Valley Hospital Medical Center,Pomona,91767,Comprehensive Stroke Center,The Joint Commission,134,34.07709,-117.75062,
California,Pomerado Hospital,Poway,92064,Primary Stroke Center,The Joint Commission,155,32.99339504,-117.05802,
California,PIH Health Hospital-Downey,Downey,90241,Primary Stroke Center,The Joint Commission,307,33.93443,-118.13117,
California,PIH Health Hospital - Whittier,Whittier,90602,Comprehensive Stroke Center,The Joint Commission,127,33.96979,-118.04935,
California,PIH Health Good Samaritan Hospital,Los Angeles,90017,Comprehensive Stroke Center,DNV GL,61,34.05465,-118.26551,
California,Pasadena Hospital Association,Pasadena,91109,Comprehensive Stroke Center,The Joint Commission,136,34.15518,-118.15438,
California,Palomar Medical Center,Escondido,92029,Primary Stroke Center,The Joint Commission,256,33.12208,-117.12039,
California,Orange County Global Medical Center,Santa Ana,92705,Comprehensive Stroke Center,HFAP,69,33.7552,-117.83304,
California,NorthBay Healthcare Group,Fairfield,94533,Primary Stroke Center,The Joint Commission,309,38.26174,-122.04657,
California,North Sonoma County Healthcare District,Healdsburg,95448,Primary Stroke Center,The Joint Commission,387,38.61417,-122.86653,
California,Mission Hospital Regional Medical Center,Mission Viejo,92691,Comprehensive Stroke Center,The Joint Commission,142,33.617065,-117.68166,
California,Mission Community Hospital,Panorama City,91402,Primary Stroke Center,The Joint Commission,35,34.22041,-118.45668,
California,Methodist Hospital of Southern California,Arcadia,91007,Comprehensive Stroke Center,DNV GL,34,34.13402,-118.04201,
California,Mercy San Juan Medical Center,Carmichael,95608,Comprehensive Stroke Center,The Joint Commission,150,38.6707,-121.31384,
California,Mercy Medical Center,Merced,95340,Primary Stroke Center,The Joint Commission,27,37.33948,-120.46694,
California,"Mercy Hospital, Dignity Health",Bakersfield,93301,Primary Stroke Center,The Joint Commission,105,35.37279,-119.0276,
California,Mercy Hospital of Folsom,Folsom,95630,Primary Stroke Center,The Joint Commission,308,38.67039,-121.14552,
California,Mercy General Hospital,Sacramento,95819,Primary Stroke Center,The Joint Commission,49,38.57134,-121.45293,
California,Memorial Hospital of Gardena,Gardena,90247,Primary Stroke Center,The Joint Commission,295,33.89307,-118.29505,
California,Marshall Medical Center,Placerville,95667,Primary Stroke Center,The Joint Commission,46,38.72459,-120.79119,
California,Marin General Hospital,Greenbrae,94904,Primary Stroke Center,The Joint Commission,56,37.94752,-122.53545,
California,Marian Regional Medical Center,Santa Maria,93454,Primary Stroke Center,The Joint Commission,260,34.95098,-120.41322,
California,Los Robles Hospital and Medical Center,Thousand Oaks,91360,Comprehensive Stroke Center,DNV GL,32,34.2211033,-118.8700415,
California,Los Alamitos Medical Center,Los Alamitos,90720,Comprehensive Stroke Center,DNV GL,30,33.80439,-118.06662,
California,Long Beach Memorial Medical Center,Long Beach,90806,Comprehensive Stroke Center,The Joint Commission,149,33.80796,-118.18847,
California,Loma Linda University Medical Center - Murrieta,Murrieta,92563,Primary Stroke Center,The Joint Commission,382,33.61471,-117.17,
California,Loma Linda University Medical Center,Loma Linda,92354,Comprehensive Stroke Center,The Joint Commission,148,34.04948,-117.26366,
California,Lodi Memorial Hospital Association,Lodi,95240,Primary Stroke Center,The Joint Commission,287,38.135485,-121.275655,
California,Lancaster Hospital Corporation,Palmdale,93551,Primary Stroke Center,The Joint Commission,285,34.58373021,-118.1470906,
California,Lakewood Regional Medical Center,Lakewood,90712,Primary Stroke Center Plus,DNV GL,72,33.85978,-118.14824,
California,Kern Medical Center,Bakersfield,93306,Primary Stroke Center,The Joint Commission,8,35.38258,-118.97213,
California,Kaweah Delta Health Care District,Visalia,93291,Primary Stroke Center,The Joint Commission,367,36.32749,-119.29418,
California,"Kaiser Foundation Hospitals, Panorama City Medical Center",Panorama City,91402,Primary Stroke Center,The Joint Commission,365,34.221505,-118.45316,
California,Kaiser Foundation Hospitals-Baldwin Park Medical Center,Baldwin Park,91706,Primary Stroke Center,The Joint Commission,373,34.085035,-117.96626,
California,Kaiser Foundation Hospital-San Leandro,San Leandro,94577,Primary Stroke Center,The Joint Commission,386,37.72073,-122.156425,
California,Kaiser Foundation Hospital-Orange County-Anaheim,Anaheim,92806,Primary Stroke Center,The Joint Commission,3,33.85426,-117.86527,
California,Kaiser Foundation Hospital-Moreno Valley Medical Center,Moreno Valley,92555,Primary Stroke Center,The Joint Commission,378,33.93843,-117.201105,
California,Kaiser Foundation Hospital South San Francisco,South San Francisco,94080,Primary Stroke Center,The Joint Commission,240,37.653995,-122.41307,
California,Kaiser Foundation Hospital and Rehabilitation Center-Vallejo,Vallejo,94589,Primary Stroke Center,The Joint Commission,363,38.149895,-122.261195,
California,Kaiser Foundation Hospital - Woodland Hills,Woodland Hills,91367,Primary Stroke Center,The Joint Commission,372,34.18284,-118.595765,
California,Kaiser Foundation Hospital - West Los Angeles,Los Angeles,90034,Primary Stroke Center,The Joint Commission,294,34.0365131,-118.3824203,
California,Kaiser Foundation Hospital - Walnut Creek,Walnut Creek,94596,Primary Stroke Center,The Joint Commission,215,37.90057,-122.062725,
California,Kaiser Foundation Hospital - Vacaville,Vacaville,95688,Primary Stroke Center,The Joint Commission,377,38.35541,-121.99344,
California,Kaiser Foundation Hospital - South Sacramento,Sacramento,95823,Primary Stroke Center,The Joint Commission,273,38.490743,-121.4563889,
California,Kaiser Foundation Hospital - South Bay,Harbor City,90710,Primary Stroke Center,The Joint Commission,289,33.793885,-118.2975,
California,Kaiser Foundation Hospital - Santa Rosa,Santa Rosa,95403,Primary Stroke Center,The Joint Commission,275,38.46815,-122.762705,
California,Kaiser Foundation Hospital - Santa Clara,Santa Clara,95051,Primary Stroke Center,The Joint Commission,57,37.35245,-121.987385,
California,Kaiser Foundation Hospital - San Rafael,San Rafael,94903,Primary Stroke Center,The Joint Commission,55,38.012395,-122.543135,
