,State,Hospital,City,Zip Code,Designation/Certification,Certifying Organization,ObjectId,lat,long,Unnamed: 9,STATE
43,Alabama,Flowers Hospital,Dothan,36305,Primary Stroke Center,The Joint Commission,230,31.2381,-85.45711,,01
44,Alabama,Fayette Medical Center ,Fayette,35555,Level III,State,358,33.70798,-87.82413000000001,,01
45,Alabama,East Alabama Medical Center ,Opelika,36801,Level III,State,357,32.63889,-85.40554,,01
46,Alabama,DeKalb Regional Medical Center ,Fort Payne,35958,Primary Stroke Center,The Joint Commission,356,34.440909999999995,-85.75603000000001,,01
47,Alabama,Decatur Morgan Parkway ,Decatur,35603,Level III,State,355,34.57335363,-87.07108239,,01
48,Alabama,Decatur Morgan Hospital ,Decatur,35601,Level III,State,354,34.6064735,-86.98139040000001,,01
49,Alabama,DCH Regional Medical Center,Tuscaloosa,35401,Level II,State,228,33.20521,-87.52545,,01
50,Alabama,Dale Medical Center ,Ozark,36360,Level III,State,353,31.45182,-85.63109,,01
51,Alabama,D.W. McMillan Memorial Hospital ,Brewton,36426,Level III,State,352,31.12698,-87.07298,,01
52,Alabama,Cullman Regional Medical Center ,Cullman,35058,Level III,State,351,34.20098,-86.80505,,01
53,Alabama,Crestwood Medical Center,Huntsville,35801,Primary Stroke Center,The Joint Commission,226,34.692809999999994,-86.57181,,01
54,Alabama,Crenshaw Community Hospital ,Luverne,36049,Level III,State,350,31.69335,-86.26509,,01
55,Alabama,Coosa Valley Medical Center ,Sylacauga,35150,Level III,State,349,33.164609999999996,-86.25504000000001,,01
56,Alabama,Community Hospital,Tallassee,36078,Level III,State,348,32.5343,-85.91221999999999,,01
57,Alabama,Citizens Baptist Medical Center,Talladega,35160,Level III,State,347,33.440020000000004,-86.09088,,01
58,Alabama,Bryan W. Whitfield Memorial Hospital,Demopolis,36732,Level III,State,346,32.50479,-87.83668,,01
59,Alabama,Brookwood Medical Center Freestanding Emergency Department,Hoover,35242,Level III,State,345,33.41917064,-86.71969361,,01
60,Alabama,Brookwood Baptist Medical Center,Birmingham,35209,Primary Stroke Center,The Joint Commission,224,33.46347,-86.77668,,01
61,Alabama,Birmingham VA Medical Center,Birmingham,35233,Level II,State,222,33.5053,-86.807435,,01
62,Alabama,Baptist Medical Center South,Montgomery,36116,Primary Stroke Center,The Joint Commission,221,32.32751,-86.27741999999999,,01
63,Alabama,Baptist Medical Center East,Montgomery,36117,Level III,State,344,32.3762,-86.17456,,01
64,Alabama,Athens Limestone Hospital,Athens,35611,Level III,State,343,34.80387,-86.97899,,01
65,Alabama,Andalusia Health,Andalusia,36420,Level III,State,342,31.296290000000003,-86.49483000000001,,01
66,Alaska,Providence Alaska Medical Center,Anchorage,99519,Primary Stroke Center,The Joint Commission,170,61.18764,-149.8191,,02
67,Alaska,Mat-Su Regional Medical Center,Palmer,99645,Acute Stroke Ready Hospital             ,The Joint Commission,81,61.56296999999999,-149.25781,,02
68,Alaska,Alaska Regional Hospital,Anchorage,99508,Primary Stroke Center,The Joint Commission,140,61.21031,-149.82845,,02
69,Arizona,Tucson Medical Center,Tucson,85712,Comprehensive Stroke Center,HFAP,276,32.25224,-110.87983999999999,,04
70,Arizona,Summit Healthcare Association,Show Low,85901,Primary Stroke Center,DNV GL,268,34.2585298,-110.08361790000001,,04
71,Arizona,Scottsdale Shea Medical Center,Scottsdale ,85260,Primary Stroke Center,DNV GL,266,33.58102,-111.88528000000001,,04
72,Arizona,Scottsdale Osborn Medical Center,Scottsdale ,85251,Primary Stroke Center,DNV GL,264,33.488479999999996,-111.92291000000002,,04
73,Arizona,Northwest Medical Center,Tucson,85741,Primary Stroke Center,HFAP,274,32.32,-111.00978,,04
74,Arizona,Mountain Vista Medical Center,Mesa,85209,Primary Stroke Center,DNV GL,261,33.39128,-111.61125,,04
75,Arizona,John C. Lincoln North Mountain Hospital,Phoenix,85020,Primary Stroke Center,DNV GL,259,33.569355,-112.06737,,04
76,Arizona,John C. Lincoln Medical Center,Phoenix,85020,Primary Stroke Center,DNV GL,257,33.56946,-112.07058,,04
77,Arizona,HonorHealth Deer Valley Medical Center,Phoenix,85027,Primary Stroke Center,DNV GL,255,33.665890000000005,-112.11594,,04
78,Arizona,Flagstaff Medical Center,Flagstaff,86001,Primary Stroke Center,DNV GL,253,35.20858,-111.64509,,04
79,Arizona,Copper Queen Community Hospital Douglas,Douglas,85607,Stroke Ready,HFAP,272,31.344479999999997,-109.549995,,04
80,Arizona,Copper Queen Community Hospital Bisbee,Bisbee,85603,Stroke Ready,HFAP,270,31.4178,-109.88306999999999,,04
81,Arkansas,WRMC Cherokee Village,Cherokee Village,72529,Stroke Ready,State,114,36.2700576,-91.57172290000001,,05
82,Arkansas,White River Medical Center,Batesville,72501,Stroke Ready,State,113,35.76804,-91.63408000000001,,05
83,Arkansas,Washington Regional Medical Center,Fayetteville,72703,Comprehensive Stroke Center,The Joint Commission,117,36.10948,-94.15814,,05
84,Arkansas,UAMS Medical Center,Little Rock,72205,Comprehensive Stroke Center,The Joint Commission,116,34.74435234,-92.38446501,,05
85,Arkansas,St. Mary's Regional Medical Center,Russellville,72801,Stroke Ready,State,112,35.27644,-93.136045,,05
86,Arkansas,St. Bernards Medical Center,Jonesboro,72401,Stroke Ready,State,111,35.83633,-90.70249,,05
87,Arkansas,Ozark Health Medical Center,Clinton,72031,Stroke Ready,State,110,35.592425,-92.4603,,05
88,Arkansas,Ouachita County Medical Center,Camden,71701,Stroke Ready,State,109,33.57548,-92.83583,,05
89,Arkansas,Northwest Arkansas Hospitals,Springdale,72764,Primary Stroke Center,The Joint Commission,120,36.16255,-94.19013000000001,,05
90,Arkansas,National Park Medical Center,Hot Springs,71901,Stroke Ready,State,108,34.486,-93.03520999999999,,05
91,Arkansas,Mercy Hospital Waldron,Waldron,72958,Stroke Ready,State,107,34.894729999999996,-94.10615,,05
92,Arkansas,Mercy Hospital Paris,Paris,72855,Stroke Ready,State,104,35.28903,-93.72505,,05
93,Arkansas,Mercy Hospital Ozark,Ozark,72949,Stroke Ready,State,327,35.48607,-93.83357,,05
94,Arkansas,Mercy Hospital Northwest Arkansas,Rogers,72758,Acute Stroke Ready Hospital,The Joint Commission,115,36.3096,-94.18299999999999,,05
95,Arkansas,Mercy Hospital Fort Smith,Fort Smith,72903,Primary Stroke Center,The Joint Commission,118,35.353790000000004,-94.35294,,05
96,Arkansas,Mercy Hospital Booneville,Booneville,72927,Stroke Ready,State,326,35.14045,-93.93466,,05
97,Arkansas,Medical Center of South Arkansas,El Dorado ,71730,Stroke Ready,State,325,33.21852,-92.6723,,05
98,Arkansas,Johnson Regional Medical Center,Clarksville,72830,Stroke Ready,State,324,35.461890000000004,-93.44525,,05
99,Arkansas,Fulton County Hospital,Salem,72576,Stroke Ready,State,323,36.382940000000005,-91.81079,,05
100,Arkansas,Forrest City Medical Center,Forrest City,72335,Stroke Ready,State,322,35.02609,-90.77931,,05
101,Arkansas,"Five Rivers Medical Center (Pocahontas, AR)",Pocahontas,72455,Stroke Ready,State,321,36.2666518,-90.9712888,,05
102,Arkansas,Drew Memorial Hospital,Monticello,71655,Stroke Ready,State,320,33.630865,-91.788945,,05
103,Arkansas,Dallas County Medical Center,Fordyce,71742,Stroke Ready,State,319,33.81084,-92.42505,,05
104,Arkansas,Conway Regional Medical Center,Conway,72034,Stroke Ready,State,318,35.08592,-92.45724,,05
105,Arkansas,Chicot Memorial Medical Center,Lake Village,71653,Stroke Ready,State,317,33.3062,-91.29037,,05
106,Arkansas,CHI St. Vincent Hot Springs,Hot Springs,71913,Stroke Ready,State,316,34.46783,-93.06666,,05
107,Arkansas,Baxter Regional Medical Center,Mountain Home,72653,Stroke Ready,State,315,36.34297,-92.39585,,05
108,Arkansas,Baptist Health Medical Center - Stuttgart,Stuttgart,72160,Stroke Ready,State,314,34.51764,-91.55932,,05
109,Arkansas,Baptist Health Medical Center - North Little Rock,North Little Rock,72117,Stroke Ready,State,313,34.78353,-92.22211999999999,,05
110,Arkansas,Baptist Health Medical Center - Little Rock,Little Rock,72205,Primary Stroke Center,The Joint Commission,119,34.74457,-92.38198,,05
111,Arkansas,Baptist Health Medical Center - Hot Spring County,Malvern,72104,Stroke Ready,State,312,34.359140000000004,-92.78565,,05
112,Arkansas,Baptist Health Medical Center - Heber Springs,Heber Springs,72543,Stroke Ready,State,282,35.504529999999995,-92.00071,,05
113,Arkansas,Baptist Health Medical Center - Arkadelphia,Arkadelphia,71923,Stroke Ready,State,280,34.12318,-93.08849000000001,,05
114,Arkansas,Ashley County Medical Center,Crossett,71635,Stroke Ready,State,278,33.13824,-91.93916999999999,,05
115,California,Zuckerberg San Francisco General Hospital,San Francisco,94110,Primary Stroke Center,The Joint Commission,40,37.75563,-122.4051,,06
116,California,White Memorial Medical Center,Los Angeles,90033,Primary Stroke Center,The Joint Commission,18,34.04914,-118.21853999999999,,06
117,California,West Hills Hospital and Medical Center,West Hills,91307,Primary Stroke Center Plus,DNV GL,71,34.20301,-118.6286,,06
118,California,Washington Hospital Healthcare System,Fremont,94538,Primary Stroke Center,The Joint Commission,17,37.55712,-121.98036,,06
119,California,Ventura County Medical Center,Ventura,93003,Primary Stroke Center,The Joint Commission,366,34.277159999999995,-119.25268999999999,,06
120,California,Valley Presbyterian Hospital,Van Nuys,91405,Primary Stroke Center,DNV GL,24,34.19494,-118.46319,,06
121,California,USC Verdugo Hills Hospital,Glendale,91280,Primary Stroke Center,DNV GL,23,34.20413,-118.21588,,06
122,California,"University of California, Davis Medical Center",Sacramento,95817,Primary Stroke Center,The Joint Commission,50,38.5558,-121.45751000000001,,06
123,California,University of California San Diego Medical Center,San Diego,92103,Comprehensive Stroke Center,The Joint Commission,137,32.75388,-117.16555,,06
124,California,University of California Irvine,Orange,92868,Comprehensive Stroke Center,The Joint Commission,143,33.6425,-117.83685,,06
125,California,Universal Health Services of Rancho Springs,Murrieta,92562,Primary Stroke Center,The Joint Commission,368,33.53215,-117.177545,,06
126,California,Ukiah Adventist Hospital,Ukiah,95482,Primary Stroke Center,The Joint Commission,328,39.152159999999995,-123.20273999999999,,06
127,California,UCSF Medical Center,San Francisco,94143,Primary Stroke Center,The Joint Commission,41,37.76140116,-122.45832379999999,,06
128,California,UCSF Medical Center,San Francisco,94143,Comprehensive Stroke Center,The Joint Commission,131,37.76140116,-122.45832379999999,,06
129,California,Twin Cities Community Hospital,Templeton,93465,Primary Stroke Center,The Joint Commission,250,35.55535,-120.72066000000001,,06
130,California,Tri-City Medical Center,Oceanside,92056,Thrombectomy Capable Stroke Center,The Joint Commission,391,33.18425,-117.29178,,06
131,California,Torrance Memorial Medical Center,Torrance,90505,Comprehensive Stroke Center,DNV GL,63,33.81093,-118.34442,,06
132,California,The Hospital Committee for the Livermore-Pleasanton Areas,Pleasanton,94588,Primary Stroke Center,The Joint Commission,286,37.693855,-121.90376,,06
133,California,Temecula Valley Hospital,Temecula,92592,Primary Stroke Center,The Joint Commission,385,33.48049,-117.10598,,06
134,California,Sutter Valley Hospitals,Auburn,95602,Primary Stroke Center,The Joint Commission,7,38.9582644,-121.10476570000002,,06
135,California,Sutter Valley Hospitals,Los Banos,93635,Primary Stroke Center,The Joint Commission,20,37.074926700000006,-120.8432869,,06
136,California,Sutter Valley Hospitals,Modesto,95355,Primary Stroke Center,The Joint Commission,154,37.674355,-120.94773500000001,,06
137,California,Sutter Valley Hospitals,Sacramento,95816,Primary Stroke Center,The Joint Commission,156,38.57013504,-121.4729449,,06
138,California,Sutter Valley Hospitals,Roseville,95661,Primary Stroke Center,The Joint Commission,236,38.725544899999996,-121.251449,,06
139,California,Sutter Valley Hospitals,Jackson,95642,Primary Stroke Center,The Joint Commission,262,38.35359554,-120.7772754,,06
140,California,Sutter Valley Hospitals,Davis,95616,Primary Stroke Center,The Joint Commission,306,38.5474,-121.74053,,06
141,California,Sutter Valley Hospitals,Tracy,95376,Primary Stroke Center,The Joint Commission,310,37.73705,-121.427975,,06
142,California,Sutter Valley Hospitals,Vallejo,94589,Primary Stroke Center,The Joint Commission,364,38.149895,-122.261195,,06
143,California,Sutter Bay Hospitals,Novato,94945,Primary Stroke Center,The Joint Commission,12,38.111065,-122.57007,,06
144,California,Sutter Bay Hospitals,Santa Rosa,95403,Primary Stroke Center,The Joint Commission,60,38.46815,-122.76270500000001,,06
145,California,Sutter Bay Hospitals,Lakeport,95453,Primary Stroke Center,The Joint Commission,281,39.046095,-122.91967,,06
146,California,Sutter Bay Hospitals,Castro Valley,94546,Primary Stroke Center,The Joint Commission,299,37.696290000000005,-122.08091499999999,,06
147,California,Sutter Bay Hospitals,Oakland,94609,Primary Stroke Center,The Joint Commission,381,37.83143,-122.26383,,06
148,California,Sutter Bay Hospitals,Burlingame,94010,Thrombectomy Capable Stroke Center,The Joint Commission,393,37.5919,-122.36843,,06
149,California,Stanford Health Care,Stanford,94305,Comprehensive Stroke Center,The Joint Commission,135,37.42907,-122.16978,,06
150,California,St. Mary Medical Center,Apple Valley,92307,Primary Stroke Center,The Joint Commission,4,34.541905,-117.26681,,06
151,California,St. Mary Medical Center,Long Beach,90813,Thrombectomy Capable Stroke Center,The Joint Commission,398,33.77997,-118.18585,,06
152,California,St. Jude Medical Center,Fullerton,92835,Comprehensive Stroke Center,The Joint Commission,145,33.89463,-117.92718,,06
153,California,St. Joseph Hospital,Orange,92863,Primary Stroke Center,The Joint Commission,11,33.80532,-117.83568500000001,,06
154,California,St. Joseph Health Northern California,Napa,94558,Primary Stroke Center,The Joint Commission,14,38.328224600000006,-122.32811459999999,,06
155,California,St. John's Regional Medical Center,Oxnard,93030,Thrombectomy Capable Stroke Center,The Joint Commission,392,34.21674,-119.15631,,06
156,California,St. John's Pleasant Valley Hospital,Camarillo,93010,Primary Stroke Center,The Joint Commission,258,34.24358,-119.01991000000001,,06
157,California,St. Francis Medical Center,Lynwood,90262,Primary Stroke Center,The Joint Commission,22,33.929840000000006,-118.2031,,06
158,California,St Joseph Health Northern CA,Santa Rosa,95405,Primary Stroke Center,The Joint Commission,59,38.434335,-122.666055,,06
159,California,SRM Alliance Hospital Services,Petaluma,94954,Acute Stroke Ready Hospital             ,The Joint Commission,125,38.2648131,-122.6408469,,06
160,California,South Coast Global Medical Center,Santa Ana,92704,Primary Stroke Center,HFAP,70,33.711090000000006,-117.88427,,06
161,California,Simi Valley Hospital and Health Care Services,Simi Valley,93065,Primary Stroke Center,The Joint Commission,153,34.26765,-118.78298999999998,,06
162,California,Sierra Vista Hospital,San Luis Obispo,93405,Thrombectomy Capable Stroke Center,The Joint Commission,389,35.260325,-120.69459499999999,,06
163,California,Sierra Nevada Memorial-Miners Hospital,Grass Valley,95945,Primary Stroke Center,The Joint Commission,31,39.21548,-121.061695,,06
164,California,Sherman Oaks Hospital,Sherman Oaks,91403,Primary Stroke Center,The Joint Commission,139,34.1603,-118.44941000000001,,06
165,California,Sharp Memorial Hospital,San Diego,92123,Primary Stroke Center,The Joint Commission,237,32.800059999999995,-117.15517,,06
166,California,Sharp Coronado Hospital,Coronado,92118,Acute Stroke Ready Hospital             ,The Joint Commission,122,32.694320000000005,-117.16791,,06
167,California,Sharp Chula Vista Medical Center,Chula Vista,91911,Primary Stroke Center,The Joint Commission,214,32.61887,-117.02266999999999,,06
168,California,Seton Medical Center,Daly City,94015,Primary Stroke Center,The Joint Commission,37,37.6878672,-122.47663829999999,,06
169,California,Scripps Mercy Hospital,San Diego,92103,Primary Stroke Center,The Joint Commission,54,32.751509999999996,-117.16085,,06
170,California,Scripps Memorial Hospital La Jolla,La Jolla,92037,Comprehensive Stroke Center,The Joint Commission,147,32.8851,-117.22368,,06
171,California,Scripps Memorial Hospital Encinitas,Encinitas,92024,Primary Stroke Center,The Joint Commission,252,33.037259999999996,-117.28341999999999,,06
172,California,Santa Ynez Valley Cottage Hospital,Solvang,93463,Acute Stroke Ready Hospital             ,The Joint Commission,126,34.602090000000004,-120.12592,,06
173,California,Santa Monica-UCLA Medical Center and Orthopaedic Hospital,Santa Monica,90404,Primary Stroke Center,The Joint Commission,58,34.02675,-118.48613999999999,,06
174,California,Santa Clara Valley Medical Center,San Jose,95128,Primary Stroke Center,The Joint Commission,263,37.31342,-121.93421000000001,,06
175,California,Santa Barbara Cottage Hospital,Santa Barbara,93105,Comprehensive Stroke Center,The Joint Commission,152,34.42953,-119.72333,,06
176,California,San Ramon Regional Medical Center,San Ramon,94583,Primary Stroke Center,The Joint Commission,241,37.776070000000004,-121.9583,,06
177,California,San Joaquin General Hospital,French Camp,95231,Primary Stroke Center,The Joint Commission,301,37.88664,-121.28308,,06
178,California,San Joaquin Community Hospital,Bakersfield,93301,Primary Stroke Center,The Joint Commission,9,35.378840000000004,-119.016405,,06
179,California,San Antonio Regional Hospital,Upland,91786,Primary Stroke Center,The Joint Commission,362,34.100640000000006,-117.63821000000002,,06
180,California,Salinas Valley Memorial Healthcare System,Salinas,93901,Primary Stroke Center,The Joint Commission,51,36.65909,-121.64629,,06
181,California,Saint Francis Memorial Hospital,San Francisco,94109,Primary Stroke Center,The Joint Commission,38,37.789770000000004,-122.41686000000001,,06
182,California,Saint Agnes Medical Center,Fresno,93720,Primary Stroke Center,The Joint Commission,303,36.8353,-119.76574,,06
183,California,Saddleback Memorial Medical Center,Laguna Hills,92653,Thrombectomy Capable Stroke Center,The Joint Commission,396,33.6238464,-117.73608200000001,,06
184,California,Ronald Reagan UCLA Medical Center,Los Angeles,90095,Comprehensive Stroke Center,The Joint Commission,141,34.07329,-118.44481999999999,,06
185,California,Riverside University Health System - Medical Center,Moreno Valley,92555,Primary Stroke Center,The Joint Commission,5,33.9119,-117.19568999999998,,06
186,California,Riverside Community Hospital,Riverside,92501,Comprehensive Stroke Center,DNV GL,62,33.9765,-117.38146,,06
187,California,Rideout Memorial Hospital,Marysville,95901,Primary Stroke Center,The Joint Commission,265,39.143975,-121.59264499999999,,06
188,California,Regional Medical Center of San Jose,San Jose,95116,Comprehensive Stroke Center,The Joint Commission,132,37.36271,-121.84786000000001,,06
189,California,Redlands Community Hospital,Redlands,92373,Primary Stroke Center,The Joint Commission,45,34.03678,-117.20577,,06
190,California,Providence Tarzana Medical Center,Tarzana,91356,Primary Stroke Center,The Joint Commission,375,34.16988,-118.53123000000001,,06
191,California,Providence Saint John's Health Center,Santa Monica,90404,Thrombectomy Capable Stroke Center,The Joint Commission,388,34.03006,-118.47833,,06
192,California,Providence Holy Cross Medical Center,Mission Hills,91345,Primary Stroke Center Plus,DNV GL,66,34.28026,-118.46,,06
193,California,Providence Health System - Southern California,Torrance,90503,Comprehensive Stroke Center,The Joint Commission,151,33.841359999999995,-118.351545,,06
194,California,Providence Health System - Southern California,San Pedro,90732,Primary Stroke Center,The Joint Commission,157,33.729690000000005,-118.31192,,06
195,California,Providence Health System - Southern California,Burbank,91505,Thrombectomy Capable Stroke Center,The Joint Commission,399,34.155475,-118.34188,,06
196,California,Prime Healthcare Services-Shasta,Redding,96001,Primary Stroke Center,The Joint Commission,379,40.58254,-122.391535,,06
197,California,Prime Healthcare Paradise Valley,National City,91950,Primary Stroke Center,The Joint Commission,15,32.68562,-117.08221,,06
198,California,Port City Operating Company,Stockton,95204,Primary Stroke Center,The Joint Commission,248,37.974255,-121.296775,,06
199,California,Pomona Valley Hospital Medical Center,Pomona,91767,Comprehensive Stroke Center,The Joint Commission,134,34.077090000000005,-117.75062,,06
200,California,Pomerado Hospital,Poway,92064,Primary Stroke Center,The Joint Commission,155,32.99339504,-117.05802,,06
201,California,PIH Health Hospital-Downey,Downey,90241,Primary Stroke Center,The Joint Commission,307,33.93443,-118.13117,,06
202,California,PIH Health Hospital - Whittier,Whittier,90602,Comprehensive Stroke Center,The Joint Commission,127,33.96979,-118.04935,,06
203,California,PIH Health Good Samaritan Hospital,Los Angeles,90017,Comprehensive Stroke Center,DNV GL,61,34.05465,-118.26551,,06
204,California,Pasadena Hospital Association,Pasadena,91109,Comprehensive Stroke Center,The Joint Commission,136,34.15518,-118.15438,,06
205,California,Palomar Medical Center,Escondido,92029,Primary Stroke Center,The Joint Commission,256,33.12208,-117.12038999999999,,06
206,California,Orange County Global Medical Center,Santa Ana,92705,Comprehensive Stroke Center,HFAP,69,33.7552,-117.83304,,06
207,California,NorthBay Healthcare Group,Fairfield,94533,Primary Stroke Center,The Joint Commission,309,38.26174,-122.04656999999999,,06
208,California,North Sonoma County Healthcare District,Healdsburg,95448,Primary Stroke Center,The Joint Commission,387,38.61417,-122.86653000000001,,06
209,California,Mission Hospital Regional Medical Center,Mission Viejo,92691,Comprehensive Stroke Center,The Joint Commission,142,33.617065000000004,-117.68166000000001,,06
210,California,Mission Community Hospital,Panorama City,91402,Primary Stroke Center,The Joint Commission,35,34.22041,-118.45668,,06
211,California,Methodist Hospital of Southern California,Arcadia,91007,Comprehensive Stroke Center,DNV GL,34,34.13402,-118.04201,,06
212,California,Mercy San Juan Medical Center,Carmichael,95608,Comprehensive Stroke Center,The Joint Commission,150,38.6707,-121.31383999999998,,06
213,California,Mercy Medical Center,Merced,95340,Primary Stroke Center,The Joint Commission,27,37.33948,-120.46694,,06
214,California,"Mercy Hospital, Dignity Health",Bakersfield,93301,Primary Stroke Center,The Joint Commission,105,35.37279,-119.0276,,06
215,California,Mercy Hospital of Folsom,Folsom,95630,Primary Stroke Center,The Joint Commission,308,38.670390000000005,-121.14551999999999,,06
216,California,Mercy General Hospital,Sacramento,95819,Primary Stroke Center,The Joint Commission,49,38.57134,-121.45293000000001,,06
217,California,Memorial Hospital of Gardena,Gardena,90247,Primary Stroke Center,The Joint Commission,295,33.89307,-118.29505,,06
218,California,Marshall Medical Center,Placerville,95667,Primary Stroke Center,The Joint Commission,46,38.72459,-120.79118999999999,,06
219,California,Marin General Hospital,Greenbrae,94904,Primary Stroke Center,The Joint Commission,56,37.947520000000004,-122.53545,,06
220,California,Marian Regional Medical Center,Santa Maria,93454,Primary Stroke Center,The Joint Commission,260,34.95098,-120.41322,,06
221,California,Los Robles Hospital and Medical Center,Thousand Oaks,91360,Comprehensive Stroke Center,DNV GL,32,34.2211033,-118.8700415,,06
222,California,Los Alamitos Medical Center,Los Alamitos,90720,Comprehensive Stroke Center,DNV GL,30,33.804390000000005,-118.06662,,06
223,California,Long Beach Memorial Medical Center,Long Beach,90806,Comprehensive Stroke Center,The Joint Commission,149,33.807959999999994,-118.18847,,06
224,California,Loma Linda University Medical Center - Murrieta,Murrieta,92563,Primary Stroke Center,The Joint Commission,382,33.614709999999995,-117.17,,06
225,California,Loma Linda University Medical Center,Loma Linda,92354,Comprehensive Stroke Center,The Joint Commission,148,34.049479999999996,-117.26366000000002,,06
226,California,Lodi Memorial Hospital Association,Lodi,95240,Primary Stroke Center,The Joint Commission,287,38.135484999999996,-121.275655,,06
227,California,Lancaster Hospital Corporation,Palmdale,93551,Primary Stroke Center,The Joint Commission,285,34.58373021,-118.1470906,,06
